id,type,area,lat,lon
MAXM_LNODEIM1,LOAD,PGE,45.50077999998226,-122.82762713007024
MAXM_LNODEIM2,LOAD,PGE,45.50077999998226,-122.82775486992976
MAYFAIR_LNODE-1,LOAD,NV,36.159844531179054,-115.13386110811332
MAYFAIR_LNODE-2,LOAD,NV,36.159665468718636,-115.13386110836659
MAYFAIR_LNODE-3,LOAD,NV,36.159665468718636,-115.13408289163341
MAYFAIR_LNODE-4,LOAD,NV,36.159844531179054,-115.13408289188668
MAYFIELD_7_G41GNODE,GEN,TPWR,46.50492013127107,-122.59179905076822
MAYFIELD_7_G42GNODE,GEN,TPWR,46.50473986857953,-122.59179905120243
MAYFIELD_7_G43GNODE,GEN,TPWR,46.50473986857953,-122.59206094879757
MAYFIELD_7_G44GNODE,GEN,TPWR,46.50492013127107,-122.5920609492318
MAYFLOWR_LNODEOAD,LOAD,NWMT,45.79301,-112.001371
MAYVI_BP_LNODEIEW,LOAD,BPAT,46.550254,-117.661986
MA_LNODE10A,LOAD,APS,32.661026615833734,-114.58017677194844
MA_LNODE12A,LOAD,APS,32.66094899995533,-114.58012354398934
MA_LNODE14A,LOAD,APS,32.66087138414339,-114.58017677204089
MA_LNODER2A,LOAD,APS,32.66087138414339,-114.5802832279591
MA_LNODER4A,LOAD,APS,32.66094899995533,-114.58033645601066
MA_LNODER6A,LOAD,APS,32.661026615833734,-114.58028322805156
MCAL_LNODE131,LOAD,IPCO,44.91267499998244,-116.12468856046206
MCAL_LNODE33A,LOAD,IPCO,44.91267499998244,-116.12481543953794
MCANLSCL_1_GEN160GNODE,GEN,SCL,47.615719,-119.299339
MCANLTP_7_GENGNODE,GEN,TPWR,47.61639,-119.29881
MCARTHR_6_N001,LOAD,CA,41.05270199998445,-121.40878106361407
MCARTHR_6_N002,GEN,CA,41.05270199998445,-121.40890093638593
MCARTHR_6_N003,GEN,CA,41.0299999999845,-121.42594007894822
MCA_LNODEXF1,LOAD,PSE,47.026389,-122.724444
MCCALL_1_N026,LOAD,CA,36.61141783540495,-119.639697
MCCALL_1_N030,LOAD,CA,36.61133708228342,-119.63963891745578
MCCALL_1_N093,GEN,CA,36.61133708228342,-119.63975508254421
MCCHORD_BKLNODE,LOAD,TPWR,47.14444,-122.49847
MCCLURE_1_MGSUNIT1GNODE,GEN,BANC,37.62878413398629,-120.93128156256863
MCCLURE_1_MGSUNIT2GNODE,GEN,BANC,37.62878413398629,-120.93139574743137
MCCL_LNODEBR1,LOAD,PGE,44.95609688994023,-123.031364
MCCL_LNODEBR2,LOAD,PGE,44.95601605501092,-123.03129804918075
MCCL_LNODEBR3,LOAD,PGE,44.95601605501092,-123.03142995081924
MCCOY_SR_LNODELD2,LOAD,SRP,33.393922,-111.636608
MCC_GNODE2,GEN,BANC,38.63017057855358,-121.51315
MCC_GNODEPKR,GEN,BANC,38.63008971070796,-121.51309023361694
MCC_LNODEMCC,LOAD,BANC,38.63008971070796,-121.51320976638306
MCDISLE_6_N001,LOAD,CA,37.93693288402067,-121.52832945017714
MCDONLD_LNODE-3,LOAD,NV,36.090873999987274,-115.21267660251958
MCDONLD_LNODE-4,LOAD,NV,36.090873999987274,-115.21278739748041
