PNODE_ID,AS_ID_1,AS_ID_2,AS_ID_extra_count,RES_TYPE,RES_ID,BUS_ID,FNMVERSION,RELEASE_DATE,GROUP,Derived_Zone
PGEB_2_PDRP46-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP46,,24M3_DB127,2024-03-20T00:00:00,3116,NP15
PGEB_2_PDRP47-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP47,,24M3_DB127,2024-03-20T00:00:00,3117,NP15
PGEB_2_PDRP48-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP48,,24M3_DB127,2024-03-20T00:00:00,3118,NP15
PGEB_2_PDRP49-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP49,,24M3_DB127,2024-03-20T00:00:00,3119,NP15
PGEB_2_PDRP50-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP50,,24M3_DB127,2024-03-20T00:00:00,3120,NP15
PGEB_2_PDRP51-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP51,,24M3_DB127,2024-03-20T00:00:00,3121,NP15
PGEB_2_PDRP52-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP52,,24M3_DB127,2024-03-20T00:00:00,3122,NP15
PGEB_2_PDRP53-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP53,,24M3_DB127,2024-03-20T00:00:00,3123,NP15
PGEB_2_PDRP54-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP54,,24M3_DB127,2024-03-20T00:00:00,3124,NP15
PGEB_2_PDRP55-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP55,,24M3_DB127,2024-03-20T00:00:00,3125,NP15
PGEB_2_PDRP56-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP56,,24M3_DB127,2024-03-20T00:00:00,3126,NP15
PGEB_2_PDRP57-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP57,,24M3_DB127,2024-03-20T00:00:00,3127,NP15
PGEB_2_PDRP58-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP58,,24M3_DB127,2024-03-20T00:00:00,3128,NP15
PGEB_2_PDRP60-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP60,,24M3_DB127,2024-03-20T00:00:00,3129,NP15
PGEB_2_PDRP61-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP61,,24M3_DB127,2024-03-20T00:00:00,3130,NP15
PGEB_2_PDRP62-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP62,,24M3_DB127,2024-03-20T00:00:00,3131,NP15
PGEB_2_PDRP63-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP63,,24M3_DB127,2024-03-20T00:00:00,3132,NP15
PGEB_2_PDRP64-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP64,,24M3_DB127,2024-03-20T00:00:00,3133,NP15
PGEB_2_PDRP65-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP65,,24M3_DB127,2024-03-20T00:00:00,3134,NP15
PGEB_2_PDRP66-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP66,,24M3_DB127,2024-03-20T00:00:00,3135,NP15
PGEB_2_PDRP67-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP67,,24M3_DB127,2024-03-20T00:00:00,3136,NP15
PGEB_2_PDRP68-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP68,,24M3_DB127,2024-03-20T00:00:00,3137,NP15
PGEB_2_PDRP69-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP69,,24M3_DB127,2024-03-20T00:00:00,3138,NP15
PGEB_2_PDRP70-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP70,,24M3_DB127,2024-03-20T00:00:00,3139,NP15
PGEB_2_PDRP71-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP71,,24M3_DB127,2024-03-20T00:00:00,3140,NP15
PGEB_2_PDRP73-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP73,,24M3_DB127,2024-03-20T00:00:00,3141,NP15
PGEB_2_PDRP74-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP74,,24M3_DB127,2024-03-20T00:00:00,3142,NP15
PGEB_2_PDRP76-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP76,,24M3_DB127,2024-03-20T00:00:00,3143,NP15
PGEB_2_PDRP77-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP77,,24M3_DB127,2024-03-20T00:00:00,3144,NP15
PGEB_2_PDRP78-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP78,,24M3_DB127,2024-03-20T00:00:00,3145,NP15
PGEB_2_PDRP79-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP79,,24M3_DB127,2024-03-20T00:00:00,3146,NP15
PGEB_2_PDRP80-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP80,,24M3_DB127,2024-03-20T00:00:00,3147,NP15
PGEB_2_PDRP81-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP81,,24M3_DB127,2024-03-20T00:00:00,3148,NP15
PGEB_2_PDRP82-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP82,,24M3_DB127,2024-03-20T00:00:00,3149,NP15
PGEB_2_PDRP83-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP83,,24M3_DB127,2024-03-20T00:00:00,3150,NP15
PGEB_2_PDRP84-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP84,,24M3_DB127,2024-03-20T00:00:00,3151,NP15
PGEB_2_PDRP93-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP93,,24M3_DB127,2024-03-20T00:00:00,3152,NP15
PGEB_2_PDRP95-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP95,,24M3_DB127,2024-03-20T00:00:00,3153,NP15
PGEB_2_PDRP96-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP96,,24M3_DB127,2024-03-20T00:00:00,3154,NP15
PGEB_2_PDRP97-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP97,,24M3_DB127,2024-03-20T00:00:00,3155,NP15
PGEB_2_PDRP98-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_PDRP98,,24M3_DB127,2024-03-20T00:00:00,3156,NP15
PGEB_2_RDRR01-APND,AS_NP15,AS_NP26,0,GEN,PGEB_2_RDRR01,,24M3_DB127,2024-03-20T00:00:00,3157,NP15
PGF1_2_PDRP03-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP03,,24M3_DB127,2024-03-20T00:00:00,3158,NP15
PGF1_2_PDRP04-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP04,,24M3_DB127,2024-03-20T00:00:00,3159,NP15
PGF1_2_PDRP101-APND,AS_NP15,AS_NP26,0,GEN,PGF1_2_PDRP101,,24M3_DB127,2024-03-20T00:00:00,3160,NP15
