AS_REGION_ID,PNODE_ID,DESCRIPTION,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
AS_NP26,SISQUOC_1_N020,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SJ1B12_7_N003,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SJNO2_6_B1,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP26,SJNO2_6_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SJNO2_6_N002,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SKAGGS_1_N001,AS_NP26,,2018-08-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,2018-08-23T00:00:00,2030-12-31T23:59:59
AS_NP26,SLATE_7_N001,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SLATE_7_N002,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SLATE_7_N003,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SLATE_7_N004,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SLATE_7_N005,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SLA_2_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SLA_2_N004,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SLA_6_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SLA_6_N005,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SLMNCRK_6_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SLR-TANN_7_B1,AS_NP26,,2023-05-05T07:00:00-00:00,2031-01-01T07:59:59-00:00,2023-05-05T00:00:00,2030-12-31T23:59:59
AS_NP26,SLTSPRG_1_B1,AS_NP26,,2017-08-17T07:00:00-00:00,2031-01-01T07:59:59-00:00,2017-08-17T00:00:00,2030-12-31T23:59:59
AS_NP26,SLUISP_2_UNITS-APND,AS_NP26,,2012-12-05T08:00:00-00:00,2031-01-01T07:59:59-00:00,2012-12-05T00:00:00,2030-12-31T23:59:59
AS_NP26,SLYCREEK_7_B1,AS_NP26,,2025-05-13T07:00:00-00:00,2031-01-01T07:59:59-00:00,2025-05-13T00:00:00,2030-12-31T23:59:59
AS_NP26,SMPSN-AN_7_B1,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SMRTVLTP_6_N101,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SMTRPCWS_1_N001,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SMUDGEO1_2_N006,AS_NP26,,2009-06-25T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-06-25T00:00:00,2030-12-31T23:59:59
AS_NP26,SMUDGEO1_7_B1,AS_NP26,,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,2009-03-31T00:00:00,2030-12-31T23:59:59
AS_NP26,SMYRGEN_7_B1,AS_NP26,,2016-05-19T07:00:00-00:00,2031-01-01T07:59:59-00:00,2016-05-19T00:00:00,2030-12-31T23:59:59
AS_NP26,SMYRNA1_1_N005,AS_NP26,,2013-11-21T08:00:00-00:00,2031-01-01T07:59:59-00:00,2013-11-21T00:00:00,2030-12-31T23:59:59
