X,Y,OBJECTID,Substation_ID,Substation_Name,Alias,Status,Owner,Map_Owner,Map_Part,Engineering_ID,kV_12_TO_32,kV_33_TO_92,kV_110_TO_161,kV_220_To_287,kV_345_To_500,kV_500_DC,Highest_kV,Postal_City,County,Zip_Code,State,Comments
-122.020593298039,37.3344313981056,"1650",SS1948,Wolfe, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Cupertino,Santa Clara,"95014",CA, 
-122.199668832181,37.0172763319651,"1651",SS1949,Lone Star, ,Operational,Other,Other,M, ,,YES,,,,,33kV to 92kV,Davenport,Santa Cruz,"95017",CA, 
-122.172131583808,37.1308831063926,"1652",SS1950,Big Basin, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Santa Cruz,Santa Cruz,"95060",CA, 
-122.144274173361,37.0953270901377,"1653",SS1951,Burns, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Santa Cruz,Santa Cruz,"95060",CA, 
-122.025123538222,37.0418834396588,"1654",SS1952,Camp Evers, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Scotts Valley,Santa Cruz,"95066",CA, 
-122.154787763081,37.0256925431615,"1655",SS1953,Crusher, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Santa Cruz,Santa Cruz,"95060",CA, 
-121.764227175815,36.9303768078167,"1656",SS1954,Erta, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Watsonville,Santa Cruz,"95076",CA, 
-121.760283896158,36.9519351146018,"1657",SS1955,Green Valley, ,Operational,PG&E,PG&E,M, ,,YES,YES,,,,110kV to 161kV,Watsonville,Santa Cruz,"95076",CA, 
-121.98216623443,36.9923178219008,"1658",SS1956,Paul Sweet, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Santa Cruz,Santa Cruz,"95065",CA, 
-122.188160223626,37.0310635790603,"1659",SS1957,Point Moretti, ,Operational,PG&E,PG&E,M, ,,YES,,,,,33kV to 92kV,Davenport,Santa Cruz,"95017",CA, 
-121.867236595064,36.9792221808135,"1660",SS1958,Rob Roy, ,Operational,PG&E,PG&E,M, ,,,YES,,,,110kV to 161kV,Aptos,Santa Cruz,"95003",CA, 
-122.278614987693,40.4287822742438,"1661",SS1962,Signal, ,Operational,WAPA,WAPA,U, ,,,,YES,,,220kV to 287kV,Anderson,Shasta,"96007",CA, 
-122.269016114866,40.4327215859914,"1662",SS1963,Simpson Paper (Shasta), ,Operational,Other,Other,U, ,,,YES,,,,110kV to 161kV,Anderson,Shasta,"96007",CA, 
-121.715091244121,40.8779583565502,"1663",SS1964,Burney Forest Power,SPI,Operational,Other,Other,U, ,,,YES,YES,,,220kV to 287kV,Burney,Shasta,"96013",CA, 
-121.640853467465,40.9097185021259,"1664",SS1965,Ultra Power,BURNEY MOUNTAIN POWER,Operational,Other,Other,U, ,,YES,,,,,33kV to 92kV,Burney,Shasta,"96013",CA, 
-122.323699953633,40.6184809167084,"1665",SS1969,College View, ,Operational,Other,Other,U, ,,,YES,,,,110kV to 161kV,Redding,Shasta,"96003",CA, 
-122.314179938825,40.5700112574528,"1666",SS1970,East Redding, ,Operational,Other,Other,U, ,,,YES,,,,110kV to 161kV,Redding,Shasta,"96003",CA, 
-122.437753624193,40.583898246552,"1667",SS1971,Eureka Way, ,Operational,Other,Other,U, ,,,YES,,,,110kV to 161kV,Redding,Shasta,"96001",CA, 
-122.382694338095,40.60184184248,"1668",SS1974,Sulphur Creek, ,Operational,Other,Other,U, ,,,YES,,,,110kV to 161kV,Redding,Shasta,"96003",CA, 
-122.30503235304,40.4497289546331,"1669",SS1976,Anderson, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Anderson,Shasta,"96007",CA, 
-122.380708332052,40.8945319375937,"1670",SS1977,Antler, ,Operational,PG&E,PG&E,U, ,,YES,,,,,33kV to 92kV,Lakehead,Shasta,"96051",CA, 
-122.395340765878,40.5624135753363,"1671",SS1978,Benton, ,Operational,PG&E,PG&E,U, ,,YES,YES,,,,110kV to 161kV,Redding,Shasta,"96001",CA, 
