Resource ID,Local Area,Matched Zone,Generator Name,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Dispatchable,Path Designation,Deliverability Status,Deliverability MW,Internal Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA6B_2_WIND11,CAISO System,SP15,Alta Wind 11,7.41,17.88,20.02,32.25,36.37,33.12,33,30.48,18.72,10.02,5.82,5.7,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTA6E_2_WIND10,CAISO System,SP15,Alta Wind 10,11.33,27.34,30.63,49.33,55.63,50.67,50.48,46.63,28.63,15.33,8.9,8.72,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTWD_2_AT3WD3,LA Basin,SP15,Altech 3,0.82,1.99,2.23,3.59,4.04,3.68,3.67,3.39,2.08,1.11,0.65,0.63,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTWD_2_COAWD1,LA Basin,SP15,Coachella 1,4.23,10.22,11.45,18.44,20.79,18.94,18.87,17.43,10.7,5.73,3.33,3.26,N,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAHM_2_CANYN1,LA Basin,SP15,CANYON POWER PLANT UNIT 1,49.21,49.21,49.21,49.21,49.21,49.21,49.21,49.21,49.21,49.21,49.21,49.21,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAHM_2_CANYN2,LA Basin,SP15,CANYON POWER PLANT UNIT 2,48.04,48.04,48.04,48.04,48.04,48.04,48.04,48.04,48.04,48.04,48.04,48.04,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAHM_2_CANYN3,LA Basin,SP15,CANYON POWER PLANT UNIT 3,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,46.49,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAHM_2_CANYN4,LA Basin,SP15,CANYON POWER PLANT UNIT 4,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,Y,South,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLHIL_1_SFKHY1,Sierra,NP15,South Fork Powerhouse,0,0,0,0,0,0,0,0,0,0,0,0,Y,North,EO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUAWS_2_AQWSR1,CAISO System,ZP26,Aquamarine Westside,0.1,0.1,0.1,3.4,17.57,141.76,182.41,66.8,118.78,0.94,0.1,0.1,N,North,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
